:mode=ask
:IOAccess,Application,Topic,AdviseActive,DDEProtocol,SecApplication,SecTopic,SecAdviseActive,SecDDEProtocol,FailoverExpression,FailoverDeadband,DFOFlag,FBDFlag,FailbackDeadband,
"HistdataViewstr","HistData","ViewStream1",Yes,Yes
"WEST_TC_MLC","\\Caster2iosvr_1\ABCIP","WEST_TC_MLC",Yes,No,"\\Caster2iosvr_2\ABCIP","WEST_TC_MLC",Yes,No,"",0,Yes,Yes,5
"SYS17_Castrip_IO","\\Caster2iosvr_1\ABCIP","SYS17_Castrip_IO",Yes,No,"\\Caster2iosvr_2\ABCIP","SYS17_Castrip_IO",Yes,No,"",2,Yes,Yes,5
"E_Tndsh_Prehtr","\\Caster2iosvr_1\ABCIP","E_Tndsh_Prehtr",Yes,No,"\\Caster2iosvr_2\ABCIP","E_Tndsh_Prehtr",Yes,No,"",2,Yes,Yes,5
"W_Tndsh_Prehtr","\\Caster2iosvr_1\ABCIP","W_Tndsh_Prehtr",Yes,No,"\\Caster2iosvr_2\ABCIP","W_Tndsh_Prehtr",Yes,No,"",2,Yes,Yes,5
"Galaxy","\\NA\NA","NA",Yes,MX
"TORCH2","\\Caster2iosvr_1\ABCIP","TORCH2",Yes,No,"\\Caster2iosvr_2\ABCIP","TORCH2",Yes,No,"",2,Yes,Yes,5
"STRAND2","\\Caster2iosvr_1\ABCIP","STRAND2",Yes,No,"\\Caster2iosvr_2\ABCIP","STRAND2",Yes,No,"",2,Yes,Yes,5
"COMMON","\\Caster2iosvr_1\ABCIP","COMMON",Yes,No,"\\Caster2iosvr_2\ABCIP","COMMON",Yes,No,"",2,Yes,Yes,5
"TORCH1","\\Caster2iosvr_1\ABCIP","TORCH1",Yes,No,"\\Caster2iosvr_2\ABCIP","TORCH1",Yes,No,"",2,Yes,Yes,5
"Narco","\\Caster2iosvr_1\ABCIP","Narco",Yes,No,"\\Caster2iosvr_2\ABCIP","Narco",Yes,No,"",2,Yes,Yes,5
"STRAND1","\\Caster2iosvr_1\ABCIP","STRAND1",Yes,No,"\\Caster2iosvr_2\ABCIP","STRAND1",Yes,No,"",2,Yes,Yes,5
"Water_System","\\Caster2iosvr_1\ABCIP","Water_System",Yes,No,"\\Caster2iosvr_2\ABCIP","Water_System",Yes,No,"",2,Yes,Yes,5
"Baghouse","\\Caster2iosvr_1\ABCIP","Baghouse",Yes,No,"\\Caster2iosvr_2\ABCIP","Baghouse",Yes,No,"",2,Yes,Yes,5
"Camera_1","\\CS2CAMS1\FSgateway","M9200_M9200_s1",Yes,No
"Camera_2","\\CS2CAMS2\FSgateway","M9200_M9200_S2",Yes,No
"MagStir","\\Caster2iosvr_1\ABCIP","MagStir",Yes,No,"\\Caster2iosvr_2\ABCIP","MagStir",Yes,No,"",2,Yes,Yes,5
"OPC","\\localhost\FSGateway","OPC_DeviceGroup",Yes,No
"Nozzle_HYD_Flex","Narco","Narco",Yes,No
:AlarmGroup,Group,Comment,EventLogged,EventLoggingPriority,LoLoAlarmDisable,LoAlarmDisable,HiAlarmDisable,HiHiAlarmDisable,MinDevAlarmDisable,MajDevAlarmDisable,RocAlarmDisable,DSCAlarmDisable,LoLoAlarmInhibitor,LoAlarmInhibitor,HiAlarmInhibitor,HiHiAlarmInhibitor,MinDevAlarmInhibitor,MajDevAlarmInhibitor,RocAlarmInhibitor,DSCAlarmInhibitor
"MagStir","$System","",Yes,999,0,0,0,0,0,0,0,0,"","","","","","","",""
"Alarms_MLC_West_TC","$System","Mould Level Control: West Tundish Car",Yes,999,0,0,0,0,0,0,0,0,"","","","","","","",""
"STRAND2","$System","",Yes,999,0,0,0,0,0,0,0,0,"","","","","","","",""
"STRAND1","$System","",Yes,999,0,0,0,0,0,0,0,0,"","","","","","","",""
"West_Tundish_Car","$System","",Yes,999,0,0,0,0,0,0,0,0,"","","","","","","",""
"COMMON","$System","",Yes,999,0,0,0,0,0,0,0,0,"","","","","","","",""
"Events_MLC_West_TC","$System","",Yes,999,0,0,0,0,0,0,0,0,"","","","","","","",""
:MemoryDisc,Group,Comment,Logged,EventLogged,EventLoggingPriority,RetentiveValue,InitialDisc,OffMsg,OnMsg,AlarmState,AlarmPri,AlarmComment,AlarmAckModel,DSCAlarmDisable,DSCAlarmInhibitor,SymbolicName
"M1_E_TD_CAR_NOT_AT_CAST","$System","EASTTUNDISHCARISNOTATANYDEFINEDPOSITION",No,No,0,No,Off,"OFF","ON",None,1,"EASTTUNDISHCARISNOTATANYDEFINEDPOSITION",0,0,"",""
"StopAnn","$System","",No,No,0,No,Off,"","",On,1,"ALARM9999:STRAND_1_OR_STRAND_2-MMI_COMM_FAULT",0,0,"",""
"M1_MMI_PLC_COM_FLT","$System","MMICOMMUNCATIONFAULTSUMMATIONBIT",No,No,0,No,Off,"OK","FAULT",None,1,"MMICOMMUNCATIONFAULTSUMMATIONBIT",0,0,"",""
"M1_COMM_FAULT","$System","SYSTEMCOMMUNICATIONFAULTSUMMARYBIT",No,No,0,No,Off,"OK","FAULT",None,1,"SYSTEMCOMMUNICATIONFAULTSUMMARYBIT",0,0,"",""
"M1_MMI_PLC_COMM_FAULT","$System","MMICOMMUNICATIONFAULTWITHONEORMOREPLCS",No,No,0,No,Off,"OK","FAULT",None,1,"MMICOMMUNICATIONFAULTWITHONEORMOREPLCS",0,0,"",""
"M1_PRIORITY_1_ALARM_POPUP","$System","FLAGUSEDTODECIDETOPOPUPTHEPRIORITY1ALARMS",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"FLAGUSEDTODECIDETOPOPUPTHEPRIORITY1ALARMS",0,0,"",""
"S2_Valve_Pos_Vis","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"str1_mach_stop_time_sec3","$System","",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"DISPLAY PRI SELECT BUTTON ON SWS PUMP PAGE",0,0,"",""
"serverKT_failed","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"IOServer2_Down","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"IOServer1_Down","$System","",No,No,0,No,Off,"","",On,1,"",0,0,"",""
"Z_SK#_30","$System","",No,No,0,No,Off,"DISABLED","ENABLED",None,1,"DISPLAY PRI SELECT BUTTON ON SWS PUMP PAGE",0,0,"",""
"IFSTR2_RUNOUT_TB2_SEC1_REV","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"Strand","$System","",No,No,0,No,Off,"","",None,1,"",0,0,"",""
"PRIORITY","$System","",No,No,0,No,On,"","",None,1,"",0,0,"",""
"SG_IN_ALARM_LIST","Narco","",No,No,0,No,On,"HISTORY","INALARM",None,1,"",0,0,"",""
"M1_Z_XA#_82001","$System","ALARM9999:COMMON_PLC_>_MMI_COMM_FAULT",No,No,0,No,Off,"COMMOK","COMMFAULT",On,1,"ALARM9999:COMMON_PLC_>_MMI_COMM_FAULT",0,0,"",""
"M1_Z_XA#_82002","$System","ALARM9999:STRAND_1_OR_STRAND_2-MMI_COMM_FAULT",No,No,0,No,Off,"COMMOK","COMMFAULT",On,1,"ALARM9999:STRAND_1_OR_STRAND_2-MMI_COMM_FAULT",0,0,"",""
"M1_Z_XA#_82003","$System","ALARM9999:WATER_1_OR_WATER_2_PLC_>_MMI_COMM_FAULT",No,No,0,No,Off,"COMMOK","COMMFAULT",On,1,"ALARM9999:WATER_1_OR_WATER_2_PLC_>_MMI_COMM_FAULT",0,0,"",""
"M1_START_AC_FLT_PRB_WDT","$System","ACDRIVEFAULTPROBEWATCHDOGTIMERSTARTFLAG",No,No,0,No,Off,"DONOTTIME","TIME",None,1,"ACDRIVEFAULTPROBEWATCHDOGTIMERSTARTFLAG",0,0,"",""
"M1_COMM_FAULT_STATUS","$System","SYSTEMCOMMUNICATIONFAULTSTATUSSUMMARYBIT",No,No,0,No,Off,"OK","FAULT",None,1,"SYSTEMCOMMUNICATIONFAULTSTATUSSUMMARYBIT",0,0,"",""
"M1_STRAND1_COM_FLT","$System","STRAND1COMMUNCATIONFAULTSUMMATIONBIT",No,No,0,No,Off,"OK","FAULT",None,1,"STRAND1COMMUNCATIONFAULTSUMMATIONBIT",0,0,"",""
"M1_WATER1_COM_FLT","$System","WATER1PLCCOMMUNCATIONFAULTSUMMATIONBIT",No,No,0,No,Off,"OK","FAULT",None,1,"WATER1PLCCOMMUNCATIONFAULTSUMMATIONBIT",0,0,"",""
